date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:12	157/157	---MC-	200	added ('OK')	text/plain	date:Thu,%2006%20Nov%202025%2017:06:45%20GMT	https://tektrone.com/robots.txt		(from )
22:37:13	107538/107538	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Nov%202025%2017:06:45%20GMT	https://tektrone.com/our-products/	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/our-products/index.html	(from )
22:37:13	15563/15563	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Sep%202025%2013:04:19%20GMT	https://tektrone.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/swiper.css?ver=7.4.1	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/swiper9c05.css	(from https://tektrone.com/our-products/)
22:37:14	6951/6951	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Sep%202025%2013:04:19%20GMT	https://tektrone.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/magnific-popup.css?ver=2.1.14	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/library/magnific-popupbe12.css	(from https://tektrone.com/our-products/)
22:37:15	59016/59016	---M--	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2021:16:22%20GMT	https://tektrone.com/wp-includes/css/dashicons.min.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-includes/css/dashicons.min32d4.css	(from https://tektrone.com/our-products/)
22:37:15	33032/33032	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Sep%202025%2013:04:19%20GMT	https://tektrone.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/index.css?ver=73c12a988df6189901ce8a7ccda0c308	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/plugins/instagram-widget-by-wpzoom/dist/styles/frontend/indexa664.css	(from https://tektrone.com/our-products/)
22:37:17	2894/2894	---M--	200	added ('OK')	text/css	date:Sun,%2025%20May%202025%2005:29:24%20GMT	https://tektrone.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.0.6	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/plugins/contact-form-7/includes/css/stylesfc7a.css	(from https://tektrone.com/our-products/)
22:37:17	5732/5732	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Mar%202024%2012:33:51%20GMT	https://tektrone.com/wp-content/plugins/google-language-translator/css/toolbar.css?ver=6.0.20	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/plugins/google-language-translator/css/toolbar99ae.css	(from https://tektrone.com/our-products/)
22:37:18	0/0	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Jun%202023%2011:44:51%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/insurez-custom.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/insurez-custom32d4.css	(from https://tektrone.com/our-products/)
22:37:18	128983/128983	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Mar%202024%2012:33:51%20GMT	https://tektrone.com/wp-content/plugins/google-language-translator/css/style.css?ver=6.0.20	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/plugins/google-language-translator/css/style99ae.css	(from https://tektrone.com/our-products/)
22:37:19	2711/2711	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2006:06:29%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/meanmenu.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/meanmenu32d4.css	(from https://tektrone.com/our-products/)
22:37:19	68610/68610	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2006:06:29%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/animate.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/animate32d4.css	(from https://tektrone.com/our-products/)
22:37:20	155845/155845	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2006:06:29%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/bootstrap.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/bootstrap32d4.css	(from https://tektrone.com/our-products/)
22:37:21	15806/15806	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2006:06:29%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/swiper-bundle.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/swiper-bundle32d4.css	(from https://tektrone.com/our-products/)
22:37:21	3145/3145	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2006:06:29%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/slick.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/slick32d4.css	(from https://tektrone.com/our-products/)
22:37:21	3359/3359	---M--	200	added ('OK')	text/css	date:Fri,%2023%20Jun%202023%2006:06:29%20GMT	https://tektrone.com/wp-content/themes/insurez/assets/css/nice-select.css?ver=6.8.3	C:/Users/Admin/Desktop/sandeep/sandeep/tektrone.com/wp-content/themes/insurez/assets/css/nice-select32d4.css	(from https://tektrone.com/our-products/)
